id,name,category,type,price,calories
1,ミックスサンド,meal,sandwich,640,862
2,ミックストースト,meal,sandwich,640,862
3,ポテサラサンド,meal,sandwich,640,464
4,ポテサラトースト,meal,sandwich,640,464
5,ハムサンド,meal,sandwich,580,517
6,ハムトースト,meal,sandwich,580,517
7,エッグサンド,meal,sandwich,580,1057
8,エッグトースト,meal,sandwich,580,1057
9,あみ焼きチキンホットサンド,meal,sandwich,860,945
10,ミニサンド,meal,sandwich,360,338
11,みそカツパン,meal,katsupan,880,1298
12,カツパン,meal,katsupan,880,1240
13,カツカリーパン,meal,katsupan,880,1261
14,エビカツパン,meal,katsupan,880,960
15,ドミグラスバーガー,meal,burger,580,710
16,フィッシュフライバーガー,meal,burger,480,760
17,コロッケバーガー,meal,burger,480,730
18,エッグバーガー,meal,burger,480,782
19,コメチキ,side,hotsnack,540,472
20,ミニコメバスケット,side,hotsnack,560,563
21,ホットドッグ,side,hotsnack,450,583
22,チリドッグ,side,hotsnack,450,507
23,小倉トースト,side,hotsnack,460,731
24,トースト,side,hotsnack,380,610
25,コメダ特製ピザ,side,hotsnack,530,492
26,たっぷりたまごのピザトースト,meal,atuatu,720,627
27,ビーフシチュー,meal,atuatu,1080,450
28,コメダグラタン,meal,atuatu,880,536
29,コーンスープ,drink,soup,470,120
30,あんかけスパ,meal,pasta,770,588
31,ナポリタン,meal,pasta,770,665
32,めんたいクリーム,meal,pasta,770,608
33,ミートソース,meal,pasta,770,636
34,ヒレカツプレート,meal,plate,1080,1171
35,ヒレカツミニプレート,meal,plate,770,637
36,ジャーマンプレート,meal,plate,820,872
37,コロッケプレート,meal,plate,970,1379
38,コロッケミニプレート,meal,plate,720,865
39,エビフライプレート,meal,plate,1080,1111
40,ミニサラダ,side,salad,240,85
41,サラダバゲット,side,salad,480,373
42,ハムサラダ,side,salad,580,132
43,エッグサラダ,side,salad,580,236
44,ヤサイサラダ,side,salad,580,114
45,シロノワール,side,dessert,650,852
46,ミニシロノワール,side,dessert,450,382
47,珈琲ジェリー,side,dessert,580,245
48,ソフトクリーム,side,dessert,450,310
49,のむクロネージュ,side,dessert,550,534
50,コメダブレンド,drink,coffee,450,6
51,コメダブレンド（たっぷり）,drink,coffee,550,10
52,コメ黒,drink,coffee,550,7
53,アメリカン,drink,coffee,450,5
54,アメリカン（たっぷり）,drink,coffee,550,7
55,ウインナーコーヒー,drink,coffee,530,105
56,コメダスペシャル,drink,coffee,530,138
57,カフェインレスコーヒー,drink,coffee,450,7
58,アイスコーヒー,drink,coffee,450,7
59,アイスコーヒー（たっぷり）,drink,coffee,550,10
60,プレミアムコーヒー Sophia(ソフィア),drink,coffee,550,1
61,蜂蜜アイスコーヒー,drink,coffee,550,94
62,アイスウインナー,drink,coffee,530,107
63,カフェインレスアイスコーヒー,drink,coffee,450,7
64,カフェオーレ,drink,aulait,470,70
65,カフェオーレ（たっぷり）,drink,aulait,570,94
66,豆乳オーレ,drink,aulait,470,46
67,豆乳オーレ（たっぷり）,drink,aulait,570,73
68,ミルクコーヒー,drink,aulait,470,106
69,ミルクコーヒー（たっぷり）,drink,aulait,570,162
70,蜂蜜オーレウインナー,drink,aulait,550,150
71,ホットミルク,drink,milk,450,120
72,ホットミルク（たっぷり）,drink,milk,550,201
73,アイスオーレ,drink,aulait,470,54
74,アイスオーレ（たっぷり）,drink,aulait,570,81
75,アイス豆乳オーレ,drink,aulait,470,43
76,アイス豆乳オーレ（たっぷり）,drink,aulait,570,64
77,アイスミルクコーヒー,drink,aulait,470,130
78,アイスミルクコーヒー（たっぷり）,drink,aulait,570,195
79,アイスミルク,drink,milk,450,160
80,アイスミルク（たっぷり）,drink,milk,550,241
81,ジェリコ元祖,drink,dessert,580,244
82,クリームコーヒー,drink,dessert,550,156
83,クリームオーレ,drink,dessert,580,197
84,アイスココア,drink,dessert,550,316
85,コーヒーシェーク,drink,dessert,540,329
86,ストロベリーシェーク,drink,dessert,540,535
87,ホットココア,drink,dessert,550,204
88,ミックスジュース,drink,soft,550,265
89,サマージュース,drink,soft,550,154
90,トマトジュース,drink,soft,540,110
91,バナナジュース,drink,soft,550,211
92,オレンジジュース,drink,soft,540,128
93,ミルクセーキ,drink,soft,550,328
94,メロンソーダ,drink,soft,450,125
95,クリームソーダ,drink,soft,540,251
96,生レモンスカッシュ,drink,soft,540,69
97,アイス・ド・ティーフロート,drink,tea,580,178
98,アイスティー,drink,tea,470,2
99,お伊勢さんの和紅茶「瑞」 アイス,drink,tea,550,1
100,お伊勢さんの和紅茶「瑞」 ホット,drink,tea,550,3
101,コーラ,drink,soft,450,95
102,カルピス,drink,soft,450,114
103,紅茶,drink,soft,450,3
104,小豆小町 葵(ホット),drink,coffee,510,155
105,小豆小町 葵(アイス),drink,coffee,510,214
106,小豆小町 桜(ホット),drink,coffee,510,151
107,小豆小町 桜(アイス),drink,coffee,510,226
108,小豆小町 菫(ホット),drink,coffee,510,212
109,小豆小町 菫(アイス),drink,coffee,510,285